"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2433}]","2433","instructions","0","2435","0.0-0.0","AD14EQ9O9JKRI","1641413887165","","","",""
"[{""page_index"":0,""viewing_time"":4246},{""page_index"":1,""viewing_time"":4330}]","8576","instructions","1","11011","0.0-1.0","AD14EQ9O9JKRI","1641413887165","","","",""
"[{""page_index"":0,""viewing_time"":13447}]","13447","instructions","2","24458","0.0-2.0","AD14EQ9O9JKRI","1641413887165","","","",""
"","10129","singlestim-multichoice-slider","3","34591","0.0-3.0-0.0","AD14EQ9O9JKRI","1641413887165","img/11.png","2","10","80"
"","10129","singlestim-multichoice-slider","4","44723","0.0-3.0-0.1","AD14EQ9O9JKRI","1641413887165","img/15.png","1","10","91"
"","8778","singlestim-multichoice-slider","5","53508","0.0-3.0-0.2","AD14EQ9O9JKRI","1641413887165","img/07.png","3","10","91"
"","9867","singlestim-multichoice-slider","6","63377","0.0-3.0-0.3","AD14EQ9O9JKRI","1641413887165","img/13.png","2","10","91"
"","11286","singlestim-multichoice-slider","7","74666","0.0-3.0-0.4","AD14EQ9O9JKRI","1641413887165","img/12.png","3","10","27"
"","27562","singlestim-multichoice-slider","8","102230","0.0-3.0-0.5","AD14EQ9O9JKRI","1641413887165","img/04.png","3","10","20"
"","6365","singlestim-multichoice-slider","9","108599","0.0-3.0-0.6","AD14EQ9O9JKRI","1641413887165","img/01.png","3","10","19"
"","16498","singlestim-multichoice-slider","10","125100","0.0-3.0-0.7","AD14EQ9O9JKRI","1641413887165","img/18.png","3","10","9"
"","8896","singlestim-multichoice-slider","11","133999","0.0-3.0-0.8","AD14EQ9O9JKRI","1641413887165","img/14.png","2","10","34"
"","9853","singlestim-multichoice-slider","12","143855","0.0-3.0-0.9","AD14EQ9O9JKRI","1641413887165","img/09.png","3","10","8"
"","7634","singlestim-multichoice-slider","13","151492","0.0-3.0-0.10","AD14EQ9O9JKRI","1641413887165","img/02.png","3","10","22"
"","5923","singlestim-multichoice-slider","14","157417","0.0-3.0-0.11","AD14EQ9O9JKRI","1641413887165","img/03.png","3","10","21"
"","6061","singlestim-multichoice-slider","15","163482","0.0-3.0-0.12","AD14EQ9O9JKRI","1641413887165","img/08.png","1","10","47"
"","9801","singlestim-multichoice-slider","16","173286","0.0-3.0-0.13","AD14EQ9O9JKRI","1641413887165","img/06.png","3","10","11"
"","6345","singlestim-multichoice-slider","17","179636","0.0-3.0-0.14","AD14EQ9O9JKRI","1641413887165","img/17.png","3","10","17"
"","9014","singlestim-multichoice-slider","18","188653","0.0-3.0-0.15","AD14EQ9O9JKRI","1641413887165","img/10.png","3","10","24"
"","6193","singlestim-multichoice-slider","19","194848","0.0-3.0-0.16","AD14EQ9O9JKRI","1641413887165","img/16.png","1","10","57"
"","11974","singlestim-multichoice-slider","20","206825","0.0-3.0-0.17","AD14EQ9O9JKRI","1641413887165","img/05.png","1","10","34"
"[{""page_index"":0,""viewing_time"":3603}]","3604","instructions","21","210429","0.0-4.0","AD14EQ9O9JKRI","1641413887165","","","",""
